section,image_filename,description
Product overview,product-overview.png,"Hero showing the Code Canvas workspace with AI sidebar, terminal, and file tree."
IDE workspace,ide-workspace.png,"Tabbed editor view with split panes, minimap, Git panel, and terminal output."
AI assistant,ai-assistant.png,"AI chat modal comparing model responses with widget toolbar visible."
Specialized editors,specialized-editors.png,"Collage of hardware breadboard, 3D model, and media editor panels."
Persistent execution,persistent-shell.png,"Diagram of Supabase execute-code flow with Wandbox/container executors and Arduino bridge."
Collaboration,collaboration.png,"Team view showing live cursors, chatrooms, and analytics dashboard."
Deployment,deployment.png,"Deployment dashboard prompting connection to Vercel/Replit/Koyeb with env var checklist."
Workspace configuration,workspace-configuration.png,"Settings panel with theme toggles and environment scopes."
Workflows & automation,workflows.png,"Visual workflow builder with API playground and automation triggers."
MCP & skills,ai-mcp.png,"MCP configuration table showing servers, skills, and prompt builder."
Hardware & Arduino,hardware.png,"Arduino bridge with breadboard preview and OTA upload inputs."
Arduino uploads,arduino-upload.png,"OTA and Bluetooth upload interface showing progress and status."
Supported boards,arduino-boards.png,"Cards listing AVR and ESP boards with toolchain badges."
Simulator,arduino-simulator.png,"Virtual breadboard with simulated sensors and animations."
Coding in .ino,arduino-coding.png,".ino editor with AI suggestions and highlighted setup/loop sections."
Scratch blocks,scratch-blocks.png,"Block programming canvas with drag-and-drop blocks open."
Creative media,creative-media.png,"Video/audio timeline next to 3D canvas in the workspace."
Office suite,office-suite.png,"Word+Excel+PowerPoint tabs with collaborative comments."
CAD & data,cad-data.png,"CAD viewport with ERD overlay and prompt note."
execute-code API,execute-code.png,"Supabase execute-code request/response diagram with session lifecycle."
Developer reference,dev-reference.png,"Architecture diagram, Supabase functions, and CLI commands for contributors."
